Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Quarter,Order Week,Order Day,Shipping Days,Profit Margin,Sales Bucket,Profit Bucket
27,Us-2020-162775,2020-01-13,2020-01-15,Second Class,Cs-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Off-En-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0.0,25.47,2020,January,1,3,Monday,2,0.5,Low,Low Profit
28,Us-2020-162775,2020-01-13,2020-01-15,Second Class,Cs-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Off-En-10001990,Office Supplies,Envelopes,Staple Envelope,11.36,2,0.0,5.339199999999999,2020,January,1,3,Monday,2,0.4699999999999999,Low,Low Profit
29,Us-2020-118192,2020-01-13,2020-01-18,Standard Class,Mm-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,Off-Pa-10002947,Office Supplies,Paper,Xerox 1923,37.408,7,0.2,13.0928,2020,January,1,3,Monday,5,0.35,Low,Low Profit
30,Us-2020-162775,2020-01-13,2020-01-15,Second Class,Cs-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Off-St-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0.0,34.354799999999955,2020,January,1,3,Monday,2,0.059999999999999915,High,Low Profit
31,Us-2020-157147,2020-01-13,2020-01-18,Standard Class,Bd-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,Off-St-10000078,Office Supplies,Storage,Tennsco 6- And 18-Compartment Lockers,1325.8500000000001,5,0.0,238.6529999999999,2020,January,1,3,Monday,5,0.1799999999999999,Very High,High Profit
32,Us-2020-162775,2020-01-13,2020-01-15,Second Class,Cs-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Tec-Ac-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0.0,258.696,2020,January,1,3,Monday,2,0.4,High,High Profit
33,Us-2020-149524,2020-01-14,2020-01-15,First Class,Bs-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Fur-Bo-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.28560000000001,2020,January,1,3,Tuesday,1,-0.8600000000000001,Low,Loss
34,Us-2020-103366,2020-01-15,2020-01-17,First Class,Eh-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,Tec-Ac-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse For Web Scrolling,149.95,5,0.0,65.97800000000001,2020,January,1,3,Wednesday,2,0.4400000000000001,Medium,Low Profit
35,Us-2020-115791,2020-01-16,2020-01-18,Second Class,Dl-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Fur-Fu-10001095,Furniture,Furnishings,Dax Black Cherry Wood-Tone Poster Frame,127.10400000000001,6,0.2,28.598399999999998,2020,January,1,3,Thursday,2,0.22499999999999995,Medium,Low Profit
36,Us-2020-115791,2020-01-16,2020-01-18,Second Class,Dl-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Off-Bi-10001575,Office Supplies,Binders,Gbc Linen Binding Covers,18.588000000000005,2,0.7,-13.6312,2020,January,1,3,Thursday,2,-0.7333333333333332,Low,Loss
37,Us-2020-115791,2020-01-16,2020-01-18,Second Class,Dl-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Off-La-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.072000000000003,3,0.2,10.149299999999997,2020,January,1,3,Thursday,2,0.33749999999999986,Low,Low Profit
38,Us-2020-115791,2020-01-16,2020-01-18,Second Class,Dl-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Tec-Ph-10004614,Technology,Phones,At&T 841000 Phone,124.19999999999999,3,0.4,-31.05000000000001,2020,January,1,3,Thursday,2,-0.2500000000000001,Medium,Loss
39,Us-2020-123477,2020-01-18,2020-01-21,Second Class,Dw-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,Off-Ap-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,0.2,6.486400000000003,2020,January,1,3,Saturday,3,0.10000000000000005,Low,Low Profit
40,Us-2020-146591,2020-01-19,2020-01-20,First Class,Ts-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,Fur-Bo-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase In Odessa Pine,181.47000000000003,5,0.7,-320.597,2020,January,1,3,Sunday,1,-1.7666666666666664,Medium,Loss
41,Us-2020-146591,2020-01-19,2020-01-20,First Class,Ts-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,Off-Bi-10003676,Office Supplies,Binders,"Gbc Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.716,2020,January,1,3,Sunday,1,-0.7333333333333333,Low,Loss
42,Us-2020-146591,2020-01-19,2020-01-20,First Class,Ts-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,Off-En-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,36.693,2020,January,1,3,Sunday,1,0.33749999999999997,Medium,Low Profit
43,Us-2020-146591,2020-01-19,2020-01-20,First Class,Ts-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,Off-Pa-10000659,Office Supplies,Paper,"Tops Carbonless Receipt Book, Four 2-3/4 X 7-1/4 Money Receipts Per Page",56.064,4,0.2,19.6224,2020,January,1,3,Sunday,1,0.35,Low,Low Profit
44,Us-2020-147627,2020-01-20,2020-01-26,Standard Class,Hl-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,Fur-Ch-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs With Adjustable Arms,1067.94,3,0.0,224.2673999999999,2020,January,1,4,Monday,6,0.20999999999999988,Very High,High Profit
45,Us-2020-167927,2020-01-20,2020-01-26,Standard Class,Xp-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,Fur-Fu-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0.0,4.860899999999999,2020,January,1,4,Monday,6,0.3299999999999999,Low,Low Profit
46,Us-2020-167927,2020-01-20,2020-01-26,Standard Class,Xp-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,Fur-Fu-10002918,Furniture,Furnishings,Eldon Clustermat Chair Mat With Cordless Antistatic Protection,272.94,3,0.0,30.02340000000001,2020,January,1,4,Monday,6,0.11000000000000004,Medium,Low Profit
47,Us-2020-147627,2020-01-20,2020-01-26,Standard Class,Hl-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,Fur-Fu-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,0.0,11.579999999999998,2020,January,1,4,Monday,6,0.29999999999999993,Low,Low Profit
48,Us-2020-148614,2020-01-20,2020-01-25,Standard Class,Mv-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,Fur-Fu-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,0.0,5.789999999999999,2020,January,1,4,Monday,5,0.29999999999999993,Low,Low Profit
49,Us-2020-167927,2020-01-20,2020-01-26,Standard Class,Xp-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,Off-Ap-10002311,Office Supplies,Appliances,"Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",247.716,4,0.1,93.58160000000001,2020,January,1,4,Monday,6,0.3777777777777778,Medium,Low Profit
50,Us-2020-147627,2020-01-20,2020-01-26,Standard Class,Hl-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,Off-Ar-10002375,Office Supplies,Art,Newell 351,22.959999999999997,7,0.0,6.658399999999997,2020,January,1,4,Monday,6,0.28999999999999987,Low,Low Profit
51,Us-2020-147627,2020-01-20,2020-01-26,Standard Class,Hl-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,Off-Ar-10003811,Office Supplies,Art,Newell 327,6.63,3,0.0,1.7901,2020,January,1,4,Monday,6,0.27,Low,Low Profit
52,Us-2020-167927,2020-01-20,2020-01-26,Standard Class,Xp-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,Off-Ar-10004456,Office Supplies,Art,Panasonic Kp-4Abk Battery-Operated Pencil Sharpener,43.92,3,0.0,12.736799999999999,2020,January,1,4,Monday,6,0.29,Low,Low Profit
53,Us-2020-167927,2020-01-20,2020-01-26,Standard Class,Xp-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,Off-Bi-10000605,Office Supplies,Binders,"Acco Pressboard Covers With Storage Hooks, 9 1/2"" X 11"", Executive Red",19.05,5,0.0,8.953499999999998,2020,January,1,4,Monday,6,0.46999999999999986,Low,Low Profit
54,Us-2020-147774,2020-01-20,2020-01-26,Standard Class,Mm-18280,Muhammed Macintyre,Corporate,United States,Smyrna,Tennessee,37167,South,Off-Bi-10003091,Office Supplies,Binders,Gbc Docubind Tl200 Manual Binding Machine,67.194,1,0.7,-51.515399999999985,2020,January,1,4,Monday,6,-0.7666666666666664,Low,Loss
55,Us-2020-167927,2020-01-20,2020-01-26,Standard Class,Xp-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,Off-Bi-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.700000000000003,5,0.0,13.365,2020,January,1,4,Monday,6,0.44999999999999996,Low,Low Profit
56,Us-2020-147627,2020-01-20,2020-01-26,Standard Class,Hl-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,Off-En-10001539,Office Supplies,Envelopes,Staple Envelope,23.34,3,0.0,10.9698,2020,January,1,4,Monday,6,0.47,Low,Low Profit
57,Us-2020-148614,2020-01-20,2020-01-25,Standard Class,Mv-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,Off-Pa-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" X 4""",19.36,2,0.0,9.2928,2020,January,1,4,Monday,5,0.48,Low,Low Profit
58,Us-2020-167927,2020-01-20,2020-01-26,Standard Class,Xp-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,Off-St-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,0.0,4.0542,2020,January,1,4,Monday,6,0.29,Low,Low Profit
59,Us-2020-167927,2020-01-20,2020-01-26,Standard Class,Xp-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,Off-St-10003123,Office Supplies,Storage,Fellowes Bases And Tops For Staxonsteel/High-Stak Systems,66.58,2,0.0,15.979199999999999,2020,January,1,4,Monday,6,0.24,Low,Low Profit
60,Us-2020-147627,2020-01-20,2020-01-26,Standard Class,Hl-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,Tec-Ph-10001061,Technology,Phones,Apple Iphone 5C,699.93,7,0.0,181.9818,2020,January,1,4,Monday,6,0.26,High,High Profit
61,Us-2020-110422,2020-01-21,2020-01-23,Second Class,Tb-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,33180,South,Fur-Fu-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25.248,3,0.2,4.102799999999999,2020,January,1,4,Tuesday,2,0.16249999999999998,Low,Low Profit
62,Ca-2020-115238,2020-01-21,2020-01-24,Standard Class,Jw-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,Fur-Fu-10001025,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",24.3,5,0.0,10.45,2020,January,1,4,Tuesday,3,0.43004115226337447,Low,Low Profit
63,Ca-2020-115238,2020-01-21,2020-01-24,Standard Class,Jw-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,Fur-Fu-10002445,Furniture,Furnishings,"Dax Two-Tone Rosewood/Black Document Frame, Desktop, 5 X 7",9.48,1,0.0,3.79,2020,January,1,4,Tuesday,3,0.399789029535865,Low,Low Profit
64,Ca-2020-115238,2020-01-21,2020-01-24,Standard Class,Jw-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,Fur-Fu-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",31.4,5,0.0,13.19,2020,January,1,4,Tuesday,3,0.42006369426751594,Low,Low Profit
65,Ca-2020-115238,2020-01-21,2020-01-24,Standard Class,Jw-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,Off-Pa-10002689,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. And 88 Bright),6.48,1,0.0,3.11,2020,January,1,4,Tuesday,3,0.47993827160493824,Low,Low Profit
66,Ca-2020-115238,2020-01-21,2020-01-24,Standard Class,Jw-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,Tec-Ph-10001300,Technology,Phones,"Ikross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush For Apple Iphone 5S 5C 5, 4S 4",209.5,10,0.0,58.66,2020,January,1,4,Tuesday,3,0.27999999999999997,Medium,Low Profit
67,Us-2020-146997,2020-01-23,2020-01-27,Standard Class,Sg-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,47905,Central,Off-Fa-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.9399999999999995,3,0.0,0.0,2020,January,1,4,Thursday,4,0.0,Low,Low Profit
68,Us-2020-102645,2020-01-23,2020-01-28,Standard Class,Im-15055,Ionia Mcgrath,Consumer,United States,Las Vegas,Nevada,89115,West,Off-Pa-10001804,Office Supplies,Paper,Xerox 195,40.08,6,0.0,19.2384,2020,January,1,4,Thursday,5,0.48,Low,Low Profit
69,Us-2020-167997,2020-01-26,2020-01-29,First Class,Ca-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,Fur-Bo-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish On Steel, Gray",141.96,2,0.0,39.7488,2020,January,1,4,Sunday,3,0.28,Medium,Low Profit
70,Us-2020-155502,2020-01-26,2020-01-31,Standard Class,Sd-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Fur-Fu-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.419999999999998,3,0.0,4.4712,2020,January,1,4,Sunday,5,0.36000000000000004,Low,Low Profit
71,Us-2020-155502,2020-01-26,2020-01-31,Standard Class,Sd-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Fur-Fu-10004587,Furniture,Furnishings,"Ge General Use Halogen Bulbs, 100 Watts, 1 Bulb Per Pack",62.82000000000001,3,0.0,30.7818,2020,January,1,4,Sunday,5,0.48999999999999994,Low,Low Profit
72,Us-2020-167997,2020-01-26,2020-01-29,First Class,Ca-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,Off-Bi-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0.0,5.0196,2020,January,1,4,Sunday,3,0.47,Low,Low Profit
73,Us-2020-155502,2020-01-26,2020-01-31,Standard Class,Sd-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Off-Pa-10000380,Office Supplies,Paper,"Rediform Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2,0.0,8.34,2020,January,1,4,Sunday,5,0.5,Low,Low Profit
74,Us-2020-155502,2020-01-26,2020-01-31,Standard Class,Sd-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Off-Pa-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" X 11"", Ream",19.44,3,0.0,9.3312,2020,January,1,4,Sunday,5,0.48000000000000004,Low,Low Profit
75,Us-2020-155502,2020-01-26,2020-01-31,Standard Class,Sd-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Off-St-10004337,Office Supplies,Storage,"Safco Commercial Wire Shelving, 72H",489.92,8,0.0,0.0,2020,January,1,4,Sunday,5,0.0,Medium,Low Profit
76,Us-2020-155502,2020-01-26,2020-01-31,Standard Class,Sd-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Tec-Ph-10002103,Technology,Phones,Jabra Speak 410,187.98,2,0.0,52.6344,2020,January,1,4,Sunday,5,0.28,Medium,Low Profit
77,Us-2020-155502,2020-01-26,2020-01-31,Standard Class,Sd-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Tec-Ph-10004833,Technology,Phones,Macally Suction Cup Mount,155.35,13,0.0,0.0,2020,January,1,4,Sunday,5,0.0,Medium,Low Profit
78,Us-2020-117163,2020-01-27,2020-02-02,Standard Class,Ej-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,Fur-Ta-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333.0,3,0.2,-16.64999999999999,2020,January,1,5,Monday,6,-0.049999999999999975,Medium,Loss
79,Us-2020-117163,2020-01-27,2020-02-02,Standard Class,Ej-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,Off-Ar-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4,0.0,12.025199999999998,2020,January,1,5,Monday,6,0.32999999999999996,Low,Low Profit
80,Us-2020-117163,2020-01-27,2020-02-02,Standard Class,Ej-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,Off-St-10003692,Office Supplies,Storage,Recycled Steel Personal File For Hanging File Folders,57.23,1,0.0,14.307499999999997,2020,January,1,5,Monday,6,0.24999999999999997,Low,Low Profit
81,Us-2020-100328,2020-01-28,2020-02-03,Standard Class,Jc-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,Off-Bi-10000343,Office Supplies,Binders,"Pressboard Covers With Storage Hooks, 9 1/2"" X 11"", Light Blue",3.9280000000000004,1,0.2,1.3256999999999999,2020,January,1,5,Tuesday,6,0.3374999999999999,Low,Low Profit
82,Us-2020-134103,2020-01-30,2020-02-04,Standard Class,Mv-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,Off-Pa-10001204,Office Supplies,Paper,Xerox 1972,10.56,2,0.0,4.752,2020,January,1,5,Thursday,5,0.44999999999999996,Low,Low Profit
83,Us-2020-134103,2020-01-30,2020-02-04,Standard Class,Mv-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,Off-St-10000991,Office Supplies,Storage,Space Solutions Hd Industrial Steel Shelving.,229.94,2,0.0,6.898200000000003,2020,January,1,5,Thursday,5,0.030000000000000013,Medium,Low Profit
